route_id,agency_id,route_short_name,route_long_name,route_color,route_type
17445532,0,Enace,Custer Enace : Urb. Dean Valdivia → Av. Venezuela,FEDD00,3
17445672,0,Enace,Custer Enace : Av. Venezuela → Urb. Dean Valdivia,FEDD00,3
17511052,1,B,Custer B : La campiña II → Parque Selva Alegre,10069f,3
17511191,1,Cotaspa 4,Custer Cotaspa 4 : El Golf → Enace,10069f,3
17515510,0,San miguel,Custer San miguel : Sector 7 Dean Valdivia → Las convenciones,FEDD00,3
17518939,2,A,Custer A : San Luis → Ormeño,FF6900,3
17581799,2,C,Custer C : Señor de los milagros → Ormeño,FF6900,3
17607753,3,Cettar,Custer Cettar : Ciudad Municipal → Terminal Terrestre,DBD9D1,3
17608042,2,Villa Ecológica,Custer Villa Ecológica : Villa Ecológica → Ormeño,FF6900,3
17608045,3,BR,Custer BR : Apipa → Terminal Terrestre,DBD9D1,3
17608051,3,Peruarbo,Custer Peruarbo : Peruarbo → Sepúlveda,DBD9D1,3
17608055,3,A,Custer A : El Naranjal → Angeles del sur Zona A,DBD9D1,3
17608077,3,C,Custer C : Angeles del sur Zona A → La isla,DBD9D1,3
17608110,3,Santa Clara,Custer Santa Clara : Fundo Cabrería → Villa Miguel Grau,DBD9D1,3
17619994,2,Royal Bus B,Custer Royal Bus B : Señor de los milagros → Terminal Terrestre,FF6900,3
17620010,3,4A,Custer 4A : Ciudad de Dios → Terminal Terrestre,DBD9D1,3
17626535,2,San Luis B,Custer San Luis B : San Luis → Avelino,FF6900,3
17633924,2,D,Custer D : San Luis → Terminal Terrestre,FF6900,3
17633927,2,Umacollo,Custer Umacollo : San Luis → Umacollo,FF6900,3
17633932,2,Transpol B,Custer Transpol B : El mirador → Avelino,FF6900,3
17633933,2,A1,Custer A1 : El mirador → Ruta del sillar,FF6900,3
17633936,2,A15,Custer A15 : Revolución → Av La Paz,FF6900,3
17633938,4,B2,Custer B2 : Miguel Grau → Terminal Terrestre,AFA96E,3
17634339,4,A,Custer A : Miguel Grau → La Merced,AFA96E,3
17634360,5,3,Custer 3 : Baños de Jesús → Aeropuerto,8D4925,3
17636285,4,B2 A,Custer B2 A : Miguel Grau → Terminal Terrestre,AFA96E,3
17636304,5,B,Combi B : Villa Santa Rosa → Terminal Terrestre,8D4925,3
17636305,4,C,Custer C : Miguel Grau → Plaza las Américas,AFA96E,3
17636328,4,B,Custer B : Miguel Grau → Cementerio Apacheta,AFA96E,3
17636366,6,Avelino,Custer Avelino : Av Paisajista → Ciudad Blanca,DF1995,3
17636375,7,LA,Custer LA : Characato → La paz,00C996,3
17636635,4,H,Custer H : Miguel Grau → Alto de la Alianza,AFA96E,3
17642932,7,T San Antorio,Custer T San Antorio : San Antonio → Terminal Terrestre,00C996,3
17643025,7,A,Custer A : Penal → Filtro,00C996,3
17643070,1,Dolores,Custer Dolores : La campiña III → La Salle,10069f,3
17644902,1,Ciudad mi trabajo A,Custer Ciudad mi trabajo A : El pasto → Pachacutec,10069f,3
17644912,1,Ciudad mi trabajo M,Custer Ciudad mi trabajo M : La mansión → La Salle,10069f,3
17644947,1,Alto Libertad,Custer Alto Libertad : Av Paisajista → Alto Libertad,10069f,3
