trip_id,route_id,service_id,shape_id
0,17445532,Mo-Su,17445532
1,17445672,Mo-Su,17445672
2,17511052,Mo-Su,17511052
3,17511191,Mo-Fr,17511191
4,17511191,Sa-Su,17511191
5,17515510,Mo-Su,17515510
6,17518939,Mo-Su,17518939
7,17581799,Mo-Sa,17581799
8,17581799,Su,17581799
9,17607753,Mo-Su,17607753
10,17608042,Mo-Su,17608042
11,17608051,Mo-Su,17608051
12,17608055,Mo-Su,17608055
13,17608110,Mo-Su,17608110
14,17619994,Mo-Sa,17619994
15,17619994,Su,17619994
16,17620010,Mo-Su,17620010
17,17626535,Mo-Sa,17626535
18,17633924,Mo-Sa,17633924
19,17633924,Su,17633924
20,17633927,Mo-Sa,17633927
21,17633932,Mo-Sa,17633932
22,17633932,Su,17633932
23,17633933,Mo-Sa,17633933
24,17633933,Su,17633933
25,17633936,Mo-Sa,17633936
26,17633938,Mo-Su,17633938
27,17634339,Mo-Su,17634339
28,17634360,Mo-Su,17634360
29,17636285,Mo-Su,17636285
30,17636304,Mo-Su,17636304
31,17636305,Mo-Su,17636305
32,17636328,Mo-Su,17636328
33,17636366,Mo-Sa,17636366
34,17636366,Su,17636366
35,17636375,Mo-Sa,17636375
36,17636375,Su,17636375
37,17636635,Mo-Su,17636635
38,17642932,Mo-Sa,17642932
39,17642932,Su,17642932
40,17643025,Mo-Sa,17643025
41,17643025,Su,17643025
42,17643070,Mo-Sa,17643070
43,17644902,Mo-Sa,17644902
44,17644902,Su,17644902
45,17644912,Mo-Sa,17644912
46,17644912,Su,17644912
47,17644947,Mo-Su,17644947
48,17653490,Mo-Su,17653490
49,17653560,Mo-Su,17653560
50,17653636,Mo-Su,17653636
51,17654231,Mo-Sa,17654231
52,17654231,Su,17654231
53,17654414,Mo-Su,17654414
54,17658187,Mo-Sa,17658187
55,17658187,Su,17658187
56,17658190,Mo-Su,17658190
57,17658204,Mo-Su,17658204
58,17658205,Mo-Su,17658205
59,17658212,Mo-Su,17658212
60,17658213,Mo-Su,17658213
61,17658215,Mo-Fr,17658215
62,17658215,Sa-Su,17658215
63,17658252,Mo-Su,17658252
64,17658522,Mo-Su,17658522
65,17658549,Mo-Su,17658549
66,17658550,Mo-Su,17658550
67,17658558,Mo-Su,17658558
68,17658664,Mo-Su,17658664
69,17658669,Mo-Sa,17658669
70,17659504,Mo-Su,17659504
71,17659544,Mo-Su,17659544
72,17664509,Mo-Su,17664509
73,17664511,Mo-Su,17664511
74,17664629,Mo-Su,17664629
75,17664645,Mo-Su,17664645
76,17664646,Mo-Su,17664646
77,17664647,Mo-Su,17664647
78,17664648,Mo-Su,17664648
79,17664649,Mo-Su,17664649
80,17664775,Mo-Su,17664775
81,17664776,Mo-Su,17664776
82,17664787,Mo-Sa,17664787
83,17664787,Mo,17664787
